,user,txt,dt,user_location
103,mdsportsinc,Marijuana and Its Effects on Athletic Performance:  A Systematic Review https://t.co/kKySdHBmxI,Sun Jul 29 13:20:01 +0000 2018,"Boca Raton, FL"
104,DrugTestNews,"Jeff Sessions says states have a right to legalize marijuana, warns federal pot ban still in place https://t.co/iifcKW5OTS",Sun Jul 29 13:16:30 +0000 2018,"Boca Raton, FL"
105,TKastanotis,".@MayorLevine talks algae, guns, marijuana and criticisms of his time as Miami Beach mayor and more on To The Point… https://t.co/vpDvP0XF5W",Sun Jul 29 12:53:32 +0000 2018,"Palm Beach Gardens, FL"
106,ZaysevB,Colorado black market marijuana: Are cartels wrongly blamed? https://t.co/oa30mqTVaM #funding,Sun Jul 29 12:13:07 +0000 2018,"Miami, FL"
107,miitchem4,Georgia Man Skates on Marijuana Charge After Jury Sides with Him https://t.co/hUm1rlDzzA via @KeepBear,Sun Jul 29 12:07:10 +0000 2018,"Port St Lucie, FL"
108,Ankonagirl,"@JoeNBC Remove the income caps on SSI taxes. Negotiate lower prescription prices. Ferret out the rampant fraud, pun… https://t.co/sN38pLlwBO",Sun Jul 29 11:48:04 +0000 2018,"Fort Pierce, FL"
109,DrugTestNews,'Marijuana is a gift from God.' A battle over pot pits the Mormon Church against an unlikely group: other Mormons https://t.co/PtmhoXv429,Sun Jul 29 11:16:29 +0000 2018,"Boca Raton, FL"
110,DrugTestNews,Marijuana possession fine fell Thursday if users claim medical need https://t.co/QfyG9DArfV,Sun Jul 29 10:46:28 +0000 2018,"Boca Raton, FL"
111,JeffWesley19,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sun Jul 29 10:35:57 +0000 2018,United States
112,Charlie_Puffer1,@ScottforFlorida And still fighting the will of the people. Stop taking us to court. We voted to legalize smokable… https://t.co/CpochpwNro,Sun Jul 29 10:29:53 +0000 2018,"Orlando, FL"
113,WALBNews10,1 arrested after Warwick police seize 100 lbs. of marijuana https://t.co/tCU8jIIZFo https://t.co/qSliE18a6y,Sun Jul 29 10:15:10 +0000 2018,"Albany, GA"
114,vtblom,'Marijuana is a gift from God.' A battle over pot pits the Mormon Church against an unlikely group: other Mormons https://t.co/R0PDnH5SjQ,Sun Jul 29 10:12:10 +0000 2018,"West Melbourne, FL"
115,vdailysun,Marijuana booming as state nears 2-year mark https://t.co/GYRje19Ghk,Sun Jul 29 10:08:36 +0000 2018,"Lady Lake, FL"
116,Miami_Cannabis,Synthetic Marijuana Flooding Florida Prisons - High Times https://t.co/TN73Emdmbf,Sun Jul 29 10:00:20 +0000 2018,"Miami, FL"
117,ALLMIGHTY70X7,"Marijuana worth roughly $12M seized from chicken farm, Georgia authorities say

https://t.co/V6cAunFkJw",Sun Jul 29 09:58:57 +0000 2018,"Orlando, FL"
118,Miami_Cannabis,Overlooked deadline could stop some medical marijuana processing in Florida - Miami Herald https://t.co/WZ59cazHct,Sun Jul 29 09:52:09 +0000 2018,"Miami, FL"
119,ryans028399,Someone explain to me why states where marijuana has been legalized for medicinal use have not included language in… https://t.co/ov3U8c3WiU,Sun Jul 29 09:51:11 +0000 2018,"Tampa, FL"
120,PeterB6117,"RT @CombatDebater: Court Rules:  Medical Marijuana Card Holders Can't Buy Firearms.

We live in a world where having a medical marijuana ca…",Sun Jul 29 09:49:55 +0000 2018,
121,Miami_Cannabis,Medical marijuana drive-thru coming to Florida - Sun Sentinel - Sun Sentinel https://t.co/UNHmDArCVo,Sun Jul 29 09:40:47 +0000 2018,"Miami, FL"
122,Florida_MJ,Black Lawmakers: Marijuana Decrim Is 'Must-Do' In First 100 Days of Democratic Congress | Marijuana Moment… https://t.co/if868ThTxv,Sun Jul 29 09:35:25 +0000 2018,"Miami, FL"
123,MEVCo_USA,"@RealJamesWoods Living the #Liberal Dream, open Opioid injection sites, legal marijuana, having sex with women or m… https://t.co/GgBVuxcVj8",Sun Jul 29 09:33:48 +0000 2018,"Sarasota, Florida"
124,Miami_Cannabis,Florida's first medical marijuana drive-thru dispensary opens in Palm ... - ABC Action News https://t.co/NjRQw3tsrd,Sun Jul 29 09:22:21 +0000 2018,"Miami, FL"
125,DrugTestNews,Ohio voters soundly reject marijuana legalization initiative https://t.co/jrHc8xVyXf,Sun Jul 29 09:16:29 +0000 2018,"Boca Raton, FL"
126,Miami_Cannabis,Chart: No end in sight for Florida's rapid medical marijuana growth - Marijuana Business Daily https://t.co/XwaiJhkaBs,Sun Jul 29 09:06:35 +0000 2018,"Miami, FL"
127,Miami_Cannabis,Will recreational marijuana be legalized in Florida in 2020? John Morgan thinks so. - The News-Press https://t.co/980LlfVGqk,Sun Jul 29 08:58:44 +0000 2018,"Miami, FL"
128,Miami_Cannabis,Synthetic Marijuana Flooding Florida Prisons - High Times https://t.co/k1mFdpINNl,Sun Jul 29 08:55:18 +0000 2018,"Miami, FL"
129,Miami_Cannabis,Protesters gather in downtown Orlando demanding Rick Scott take action on medical marijuana - Orlando Weekly (blog) https://t.co/CMDDhqPzAn,Sun Jul 29 08:42:07 +0000 2018,"Miami, FL"
130,Miami_Cannabis,Will recreational marijuana be legalized in Florida in 2020? John Morgan thinks so. - The News-Press https://t.co/q8iBFpxWny,Sun Jul 29 08:35:46 +0000 2018,"Miami, FL"
131,Miami_Cannabis,Is Florida's effort to stop marijuana-impaired drivers half-baked? - https://t.co/U7sOKzZIlc https://t.co/ITp2nJfQ8y,Sun Jul 29 08:28:51 +0000 2018,"Miami, FL"
132,Miami_Cannabis,Appeals court rejects bid to smoke medical marijuana in Florida - The News-Press https://t.co/D4aaFwEoob,Sun Jul 29 08:21:02 +0000 2018,"Miami, FL"
133,Miami_Cannabis,Synthetic Marijuana Flooding Florida Prisons - High Times https://t.co/gkOoKlvEB7,Sun Jul 29 08:14:19 +0000 2018,"Miami, FL"
134,Miami_Cannabis,John Morgan Plans to Legalize Cannabis in Florida in 2020 - The Marijuana Times https://t.co/007lbDBLbE,Sun Jul 29 08:01:58 +0000 2018,"Miami, FL"
135,Miami_Cannabis,John Morgan Plans to Legalize Cannabis in Florida in 2020 - The Marijuana Times https://t.co/0nXzRUYwMo,Sun Jul 29 07:58:57 +0000 2018,"Miami, FL"
136,Miami_Cannabis,Synthetic Marijuana Flooding Florida Prisons - High Times https://t.co/txJKdyaL0N,Sun Jul 29 07:51:36 +0000 2018,"Miami, FL"
137,Miami_Cannabis,Florida marijuana company eyes Maine for cultivation site - WABI https://t.co/573gr6BmKx,Sun Jul 29 07:40:29 +0000 2018,"Miami, FL"
138,revdrhenry,Marijuana compound removes toxic Alzheimer's protein from the brain. https://t.co/dao0p6OTed,Sun Jul 29 07:39:45 +0000 2018,"Kissimmee, Florida"
139,Miami_Cannabis,Medical marijuana regulators withdraw licensing fee rule - Florida Politics (blog) https://t.co/dKbedeauOa,Sun Jul 29 07:36:51 +0000 2018,"Miami, FL"
140,Miami_Cannabis,Florida Cannabis Market Continues to Grow - Marijuana Stocks (press release) (blog) https://t.co/Xu7oxTqbHt,Sun Jul 29 07:28:20 +0000 2018,"Miami, FL"
